# L (m), R (m), T (K), F_Drude, F_Plasma, F_PFA_Drude, F_PFA_Plasma, F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma
6.6e-07, 2e-05, 295, -1.40969810678e-13, -1.62929246904e-13, -1.4314758898e-13, -1.67855270358e-13, 0.984786482833, 0.970653149922
6.65e-07, 2e-05, 295, -1.37776536235e-13, -1.59413345034e-13, -1.39916118869e-13, -1.64276443129e-13, 0.984708104753, 0.970396862736
6.7e-07, 2e-05, 295, -1.34677047043e-13, -1.55998117142e-13, -1.3677936525e-13, -1.60799606661e-13, 0.984629858438, 0.970139917515
6.75e-07, 2e-05, 295, -1.31667958164e-13, -1.52679985083e-13, -1.33733916651e-13, -1.57421147762e-13, 0.984551723763, 0.969882301418
6.8e-07, 2e-05, 295, -1.2874603394e-13, -1.4945552688e-13, -1.30776507345e-13, -1.54137605934e-13, 0.984473714383, 0.96962403156
6.85e-07, 2e-05, 295, -1.25908170221e-13, -1.46321458276e-13, -1.27904010157e-13, -1.50945665885e-13, 0.984395798583, 0.969365085232
6.9e-07, 2e-05, 295, -1.23151389647e-13, -1.43274627816e-13, -1.25113429664e-13, -1.47842150468e-13, 0.984317910374, 0.969105409813
6.95e-07, 2e-05, 295, -1.20472864772e-13, -1.40312040712e-13, -1.22401895783e-13, -1.44824014003e-13, 0.984240186812, 0.968845130265
7e-07, 2e-05, 295, -1.17869861345e-13, -1.37430800204e-13, -1.19766657702e-13, -1.41888335965e-13, 0.984162567496, 0.968584198758
7.05e-07, 2e-05, 295, -1.15339761252e-13, -1.34628131226e-13, -1.17205078154e-13, -1.39032315021e-13, 0.984085016362, 0.968322588933
7.1e-07, 2e-05, 295, -1.12880058662e-13, -1.31901376382e-13, -1.14714627996e-13, -1.36253263388e-13, 0.984007537963, 0.968060309909
7.15e-07, 2e-05, 295, -1.10488349782e-13, -1.29247985308e-13, -1.12292881087e-13, -1.33548601494e-13, 0.983930136201, 0.967797370107
7.2e-07, 2e-05, 295, -1.08162326484e-13, -1.26665508094e-13, -1.09937509434e-13, -1.30915852922e-13, 0.983852800018, 0.967533765137
7.25e-07, 2e-05, 295, -1.05899774074e-13, -1.24151592883e-13, -1.0764627861e-13, -1.2835263963e-13, 0.983775523331, 0.96726949474
7.3e-07, 2e-05, 295, -1.0369856761e-13, -1.21703982046e-13, -1.05417043395e-13, -1.25856677411e-13, 0.983698311678, 0.967004568606
7.35e-07, 2e-05, 295, -1.01556665006e-13, -1.19320505145e-13, -1.03247743666e-13, -1.23425771603e-13, 0.983621156259, 0.96673898486
7.4e-07, 2e-05, 295, -9.94721010882e-14, -1.1699907252e-13, -1.01136400491e-13, -1.21057813011e-13, 0.983544011897, 0.966472709274
7.45e-07, 2e-05, 295, -9.74429893213e-14, -1.14737677195e-13, -9.9081112433e-14, -1.18750774053e-13, 0.983466847803, 0.966205720427
7.5e-07, 2e-05, 295, -9.5467540829e-14, -1.12534414546e-13, -9.70800520362e-14, -1.16502705087e-13, 0.9833898811, 0.965938211148
7.55e-07, 2e-05, 295, -9.35439827417e-14, -1.10387397664e-13, -9.51314625014e-14, -1.14311730943e-13, 0.983312778781, 0.965669898909
7.6e-07, 2e-05, 295, -9.16706627631e-14, -1.08294865682e-13, -9.323365453e-14, -1.1217604762e-13, 0.983235755642, 0.965400974441
7.65e-07, 2e-05, 295, -8.98459691024e-14, -1.06255100774e-13, -9.13850033187e-14, -1.10093919147e-13, 0.98315878798, 0.96513142231
7.7e-07, 2e-05, 295, -8.8068347689e-14, -1.04266446019e-13, -8.95839457171e-14, -1.08063674612e-13, 0.983081812081, 0.96486119312
7.75e-07, 2e-05, 295, -8.63363105485e-14, -1.02327313959e-13, -8.78289775219e-14, -1.0608370533e-13, 0.983004846287, 0.964590307627
7.8e-07, 2e-05, 295, -8.46484251266e-14, -1.00436175611e-13, -8.61186509066e-14, -1.04152462155e-13, 0.982927905111, 0.964318783574
7.85e-07, 2e-05, 295, -8.30033052452e-14, -9.85915510342e-14, -8.44515719788e-14, -1.0226845292e-13, 0.98285092036, 0.964046567819
7.9e-07, 2e-05, 295, -8.1399619367e-14, -9.67920178575e-14, -8.28263984565e-14, -1.0043024001e-13, 0.982773860556, 0.963773638771
7.95e-07, 2e-05, 295, -7.9836106291e-14, -9.5036227586e-14, -8.12418374584e-14, -9.86364380418e-14, 0.982696955025, 0.963500198028
8e-07, 2e-05, 295, -7.83115044001e-14, -9.33228321245e-14, -7.96966434051e-14, -9.68857116663e-14, 0.982619857677, 0.963225954782
8.05e-07, 2e-05, 295, -7.68246550459e-14, -9.16505910834e-14, -7.81896160126e-14, -9.51767734675e-14, 0.982542938099, 0.962951230057
8.1e-07, 2e-05, 295, -7.53743879639e-14, -9.00182527832e-14, -7.67195983915e-14, -9.35083819676e-14, 0.982465882828, 0.962675761135
8.15e-07, 2e-05, 295, -7.39595991012e-14, -8.84246351223e-14, -7.5285475232e-14, -9.1879339724e-14, 0.982388686174, 0.962399549103
8.2e-07, 2e-05, 295, -7.25792483899e-14, -8.68686232161e-14, -7.38861710763e-14, -9.02884915164e-14, 0.982311673926, 0.962122876982
