# L (m), R (m), T (K), F_Drude (N), F_Plasma (N), F_PFA_Drude (N), F_PFA_Plasma (N), F_Drude/F_PFA_Drude, F_Plasma/F_PFA_Plasma, F_Plasma_xi0 (N), F_Plasma_xi0/F_PFA_Plasma_xi0
5.6e-07, 7.5e-05, 295, -8.76675747143e-13, -9.98087347051e-13, -8.79790108724e-13, -1.00567638937e-12, 0.99646010844, 0.992453792896, -1.21411599908e-13, 0.964454579874
5.65e-07, 7.5e-05, 295, -8.53664758986e-13, -9.7306104878e-13, -8.56714356861e-13, -9.80541273033e-13, 0.996440356287, 0.99237133157, -1.19396289793e-13, 0.964219197924
5.7e-07, 7.5e-05, 295, -8.31438382003e-13, -9.48868710548e-13, -8.34425003331e-13, -9.56242682157e-13, 0.996420743248, 0.992288598128, -1.17430328544e-13, 0.963984289275
5.75e-07, 7.5e-05, 295, -8.09963649413e-13, -9.25475770017e-13, -8.12889088595e-13, -9.32746043283e-13, 0.996401182863, 0.992205516905, -1.15512120604e-13, 0.963749837504
5.8e-07, 7.5e-05, 295, -7.8920926869e-13, -9.02849403425e-13, -7.92075291732e-13, -9.10018486018e-13, 0.996381628019, 0.992122047296, -1.13640134735e-13, 0.963515830001
5.85e-07, 7.5e-05, 295, -7.69145689827e-13, -8.8095859556e-13, -7.71953836288e-13, -8.88028745812e-13, 0.996362287057, 0.992038376815, -1.11812905734e-13, 0.963282299273
5.9e-07, 7.5e-05, 295, -7.49744506744e-13, -8.59773525002e-13, -7.52496402297e-13, -8.66747073087e-13, 0.996342978457, 0.991954344813, -1.10029018259e-13, 0.963049210117
5.95e-07, 7.5e-05, 295, -7.30978870888e-13, -8.39265987913e-13, -7.33676043898e-13, -8.46145148114e-13, 0.996323754833, 0.991869999827, -1.08287117026e-13, 0.962816568879
6e-07, 7.5e-05, 295, -7.12823185296e-13, -8.19409083535e-13, -7.15467112317e-13, -8.26196001409e-13, 0.99630461418, 0.99178534166, -1.0658589824e-13, 0.962584372642
6.05e-07, 7.5e-05, 295, -6.95253064206e-13, -8.0017717201e-13, -6.9784518369e-13, -8.06873939105e-13, 0.996285537905, 0.991700355198, -1.04924107804e-13, 0.962352614263
6.1e-07, 7.5e-05, 295, -6.78245364634e-13, -7.81545906622e-13, -6.80786991489e-13, -7.88154473062e-13, 0.996266634224, 0.991615138065, -1.03300541988e-13, 0.962121309676
6.15e-07, 7.5e-05, 295, -6.61777791029e-13, -7.63491826995e-13, -6.64270363086e-13, -7.70014255231e-13, 0.996247654275, 0.991529470797, -1.01714035967e-13, 0.961890411854
6.2e-07, 7.5e-05, 295, -6.45829458969e-13, -7.45992938144e-13, -6.48274160347e-13, -7.52431016169e-13, 0.996228908188, 0.991443630198, -1.00163479176e-13, 0.961659973168
6.25e-07, 7.5e-05, 295, -6.30380084186e-13, -7.2902787617e-13, -6.32778223835e-13, -7.35383507273e-13, 0.996210141944, 0.99135739238, -9.86477919835e-14, 0.961429944718
6.3e-07, 7.5e-05, 295, -6.1541054605e-13, -7.12576487565e-13, -6.17763320431e-13, -7.18851446525e-13, 0.996191463133, 0.991270854374, -9.71659415153e-14, 0.961200343396
6.35e-07, 7.5e-05, 295, -6.00902506276e-13, -6.96619436502e-13, -6.03211094162e-13, -7.02815467555e-13, 0.99617283583, 0.991183985928, -9.57169302266e-14, 0.960971159866
6.4e-07, 7.5e-05, 295, -5.86838488604e-13, -6.81138286604e-13, -5.89104019921e-13, -6.87257071666e-13, 0.996154276256, 0.991096803053, -9.42997979997e-14, 0.960742394897
6.45e-07, 7.5e-05, 295, -5.73201845233e-13, -6.66115465772e-13, -5.75425360024e-13, -6.72158582805e-13, 0.996135876265, 0.991009387981, -9.29136205386e-14, 0.960514059882
6.5e-07, 7.5e-05, 295, -5.59976522552e-13, -6.51534025393e-13, -5.62159123307e-13, -6.57503105133e-13, 0.996117468055, 0.9909215946, -9.15575028411e-14, 0.9602861249
6.55e-07, 7.5e-05, 295, -5.47147355566e-13, -6.37377942378e-13, -5.49290026638e-13, -6.43274483104e-13, 0.996099199023, 0.990833554134, -9.02305868121e-14, 0.960058611874
6.6e-07, 7.5e-05, 295, -5.34699721513e-13, -6.23631762834e-13, -5.36803458676e-13, -6.29457263841e-13, 0.996080991788, 0.990745200124, -8.89320413203e-14, 0.9598315057
6.65e-07, 7.5e-05, 295, -5.22619640589e-13, -6.10280704869e-13, -5.24685445757e-13, -6.16036661732e-13, 0.996062774021, 0.99065647027, -8.76610642795e-14, 0.959604788437
6.7e-07, 7.5e-05, 295, -5.10893851256e-13, -5.97310736933e-13, -5.12922619687e-13, -6.02998524977e-13, 0.996044689095, 0.990567492608, -8.64168856775e-14, 0.959378486388
6.75e-07, 7.5e-05, 295, -4.99509502243e-13, -5.84708258929e-13, -5.0150218744e-13, -5.90329304107e-13, 0.996026567287, 0.99047811935, -8.51987566867e-14, 0.959152563801
6.8e-07, 7.5e-05, 295, -4.88454426584e-13, -5.72460385377e-13, -4.90411902545e-13, -5.78016022251e-13, 0.99600850642, 0.990388437933, -8.40059587931e-14, 0.958927035336
6.85e-07, 7.5e-05, 295, -4.77716919709e-13, -5.60554716334e-13, -4.7964003809e-13, -5.66046247069e-13, 0.995990496562, 0.990298441578, -8.28377966252e-14, 0.958701898905
6.9e-07, 7.5e-05, 295, -4.67285774733e-13, -5.4897937308e-13, -4.6917536124e-13, -5.54408064254e-13, 0.995972536788, 0.990208130936, -8.16935983479e-14, 0.9584771509
6.95e-07, 7.5e-05, 295, -4.57150302891e-13, -5.37723019546e-13, -4.59007109187e-13, -5.4309005251e-13, 0.995954733034, 0.990117600313, -8.05727166546e-14, 0.958252809305
7e-07, 7.5e-05, 295, -4.47300114178e-13, -5.26774635095e-13, -4.49124966383e-13, -5.32081259868e-13, 0.995936872048, 0.990026664773, -7.94745209172e-14, 0.958028831552
7.05e-07, 7.5e-05, 295, -4.37725448808e-13, -5.16123857379e-13, -4.39519043076e-13, -5.21371181329e-13, 0.995919188721, 0.989935531273, -7.83984085715e-14, 0.957805260134
7.1e-07, 7.5e-05, 295, -4.28416764626e-13, -5.05760555238e-13, -4.30179854984e-13, -5.10949737706e-13, 0.995901504134, 0.989844045148, -7.73437906123e-14, 0.95758205912
7.15e-07, 7.5e-05, 295, -4.19365027947e-13, -4.95675129473e-13, -4.21098304074e-13, -5.00807255604e-13, 0.995883915678, 0.989752292778, -7.63101015264e-14, 0.957359243378
7.2e-07, 7.5e-05, 295, -4.1056144479e-13, -4.85858234563e-13, -4.12265660377e-13, -4.90934448457e-13, 0.99586621989, 0.989660098389, -7.52967897722e-14, 0.957136770633
7.25e-07, 7.5e-05, 295, -4.01997776443e-13, -4.76301105856e-13, -4.03673544788e-13, -4.81322398612e-13, 0.995848704067, 0.989567714341, -7.4303329413e-14, 0.956914696779
7.3e-07, 7.5e-05, 295, -3.93665892823e-13, -4.66995095854e-13, -3.95313912732e-13, -4.71962540292e-13, 0.995831110781, 0.989474917998, -7.33292030309e-14, 0.956692968482
7.35e-07, 7.5e-05, 295, -3.85558180348e-13, -4.57932097659e-13, -3.87179038748e-13, -4.6284664351e-13, 0.995813672133, 0.989381913168, -7.23739173113e-14, 0.956471630607
7.4e-07, 7.5e-05, 295, -3.77667146168e-13, -4.4910413366e-13, -3.79261501843e-13, -4.53966798792e-13, 0.995796157356, 0.989288500515, -7.1436987492e-14, 0.956250632946
7.45e-07, 7.5e-05, 295, -3.6998572169e-13, -4.40503671188e-13, -3.71554171624e-13, -4.45315402697e-13, 0.995778677636, 0.989194778622, -7.05179494986e-14, 0.956029996682
7.5e-07, 7.5e-05, 295, -3.62507115632e-13, -4.32123469527e-13, -3.64050195136e-13, -4.36885144078e-13, 0.995761355097, 0.98910085496, -6.9616353895e-14, 0.955809743895
7.55e-07, 7.5e-05, 295, -3.55224664135e-13, -4.23956424176e-13, -3.5674298438e-13, -4.28668991038e-13, 0.995743938041, 0.989006513277, -6.87317600415e-14, 0.955589823976
