# high-temperature limit
# R: 7.5e-05 m
# omegap: 9 eV
#
# R/L, F_Drude/(kB*T), F_PR/(kB*T), F_plasma/(kB*T), F_plasma/F_PFA_plasma
140.97744, -20.708631452185, -39.934049309691, -38.368926421828, 0.94149624986456
141.50943, -20.788373066925, -40.091186416557, -38.514548952787, 0.94164643083435
142.04545, -20.868719655707, -40.249522654112, -38.661243903519, 0.94179681091116
142.58555, -20.949678122071, -40.409071740495, -38.809023129091, 0.94194739099024
143.12977, -21.031255474967, -40.569847603581, -38.957898659985, 0.94209817197413
143.67816, -21.113458830785, -40.731864383774, -39.107882705128, 0.94224915476717
144.23077, -21.196295415416, -40.895136441055, -39.258987655767, 0.94240034028876
144.78764, -21.279772566367, -41.05967835582, -39.411226088252, 0.94255172945837
145.34884, -21.363897734925, -41.225504936551, -39.564610768168, 0.94270332321109
145.9144, -21.448678488368, -41.392631221308, -39.719154653309, 0.94285512248374
146.48437, -21.534122512237, -41.561072483483, -39.874870897604, 0.94300712822157
147.05882, -21.620237612647, -41.730844237666, -40.031772855042, 0.94315934138313
147.6378, -21.707031718668, -41.901962241883, -40.189874083041, 0.94331176292977
148.22134, -21.794512884751, -42.074442504102, -40.349188346653, 0.94346439383276
148.80952, -21.882689293216, -42.248301286741, -40.509729622474, 0.94361723507182
149.40239, -21.971569256801, -42.423555111819, -40.671512102736, 0.94377028763523
150, -22.061161221271, -42.600220765621, -40.834550199412, 0.94392355251812
150.60241, -22.151473768088, -42.778315306229, -40.998858548855, 0.94407703073105
151.20968, -22.242515617146, -42.957856064701, -41.164452015439, 0.94423072328316
151.82186, -22.334295629577, -43.13886065488, -41.33134569679, 0.94438463119926
152.43902, -22.42682281062, -43.321346977001, -41.499554927984, 0.94453875551168
153.06122, -22.52010631256, -43.505333223984, -41.669095286334, 0.94469309726177
153.68852, -22.614155437747, -43.69083788743, -41.839982596187, 0.94484765750013
154.32099, -22.70897964168, -43.877879764194, -42.012232933924, 0.94500243728844
154.95868, -22.804588536169, -44.066477960995, -42.185862632708, 0.94515743769295
155.60166, -22.900991892587, -44.256651903843, -42.360888288158, 0.94531265979614
156.25, -22.998199645185, -44.448421341289, -42.537326763057, 0.9454681046836
156.90377, -23.096221894506, -44.641806354552, -42.715195193342, 0.94562377345751
157.56303, -23.195068910876, -44.836827361166, -42.894510993087, 0.94577966722368
158.22785, -23.294751137987, -45.033505125436, -43.075291860746, 0.945935787104
158.89831, -23.395279196571, -45.231860762415, -43.25755578443, 0.94609213422501
159.57447, -23.496663888166, -45.43191574877, -43.441321048422, 0.94624870972956
160.25641, -23.59891619898, -45.63369192753, -43.626606238812, 0.94640551476643
160.94421, -23.702047303856, -45.837211517646, -43.813430250052, 0.94656255049687
161.63793, -23.806068570332, -46.04249712173, -44.001812291302, 0.94671981809284
162.33766, -23.910991562823, -46.249571734302, -44.19177189303, 0.94687731873741
163.04348, -24.016828046888, -46.458458750353, -44.383328913769, 0.94703505362491
163.75546, -24.123589993634, -46.669181974084, -44.57650354703, 0.94719302396085
164.47368, -24.231289584216, -46.881765627898, -44.771316328432, 0.94735123096258
165.19824, -24.339939214468, -47.096234361589, -44.967788142955, 0.94750967585877
165.9292, -24.449551499652, -47.312613262287, -45.165940232508, 0.94766835989133
166.66667, -24.560139279334, -47.530927862416, -45.365794203316, 0.94782728431035
167.41071, -24.671715622392, -47.751204152686, -45.567372034251, 0.94798645038328
168.16143, -24.784293832157, -47.973468588916, -45.77069608438, 0.94814585938476
168.91892, -24.897887451695, -48.197748105966, -45.975789101759, 0.94830551260698
169.68326, -25.01251026923, -48.424070125179, -46.182674231422, 0.94846541134984
170.45455, -25.128176323719, -48.652462568784, -46.391375024625, 0.94862555693146
171.23288, -25.244899910573, -48.882953868461, -46.601915447326, 0.94878595067877
172.01835, -25.362695587542, -49.115572978665, -46.81431988967, 0.94894659393366
172.81106, -25.481578180761, -49.350349388297, -47.028613175331, 0.94910748805124
173.61111, -25.601562790959, -49.587313133055, -47.244820571234, 0.94926863440054
174.4186, -25.72266479985, -49.826494808176, -47.462967797483, 0.9494300343643
175.23364, -25.844899876697, -50.067925581539, -47.68308103761, 0.9495916893395
176.05634, -25.968283985061, -50.311637207091, -47.905186949054, 0.9497536007373
176.88679, -26.092833389744, -50.557662038664, -48.129312673976, 0.94991576998355
177.72512, -26.21856466393, -50.806033044689, -48.355485850383, 0.95007819851984
178.57143, -26.345494696521, -51.056783821077, -48.583734623309, 0.95024088779948
179.42584, -26.4736406997, -51.309948609257, -48.814087656913, 0.95040383929536
180.28846, -26.603020216696, -51.565562308287, -49.04657414607, 0.95056705449149
181.15942, -26.733651129783, -51.823660494182, -49.281223829191, 0.95073053489193
182.03883, -26.86555166851, -52.084279433301, -49.518067000564, 0.95089428201352
182.92683, -26.998740418172, -52.347456101024, -49.757134523634, 0.95105829739009
183.82353, -27.13323632853, -52.613228198606, -49.998457844434, 0.95122258257217
184.72906, -27.269058722787, -52.881634171142, -50.242069005405, 0.95138713912697
185.64356, -27.406227306835, -53.15271322594, -50.488000659638, 0.95155196863863
186.56716, -27.544762178771, -53.426505351548, -50.736286085517, 0.95171707270854
187.5, -27.68468383871, -53.703051337259, -50.986959201797, 0.95188245295571
188.44221, -27.826013198879, -53.982392793691, -51.240054583156, 0.95204811101777
